ACTCMMID,COSTT4_A,RET_FT4,MD_EARN_WNE_INC1_P10,SAT_AVG,TUITIONFEE_IN,OPENADMP,UG25ABV,PCTPELL,PCTPELL_DCS,C150_4
22.0,42569.0,0.6674,40526.0,1178.5,30148.0,2.0,0.1277,0.2741,0.4205,0.4267
26.0,48273.0,0.8058,55951.0,1178.5,32218.0,2.0,0.0212,0.1668,0.1669,0.6572
19.0,23973.0,0.5068,49308.0,987.0,14300.0,2.0,0.2197,0.5803,0.6041,0.2892
21.0,25298.0,0.2941,49308.0,966.0,16300.0,2.0,0.4216,0.5837,0.5951,0.04
19.0,39677.0,0.4578,43189.0,968.0,28044.0,2.0,0.156,0.5384,0.5532,0.4045
24.0,18357.0,0.8507,47976.0,1166.0,6360.0,2.0,0.2766,0.3347,0.3513,0.5306
19.0,13323.0,0.6285,30637.0,986.0,3165.0,2.0,0.1083,0.3662,0.4204,0.3971
20.0,35996.0,0.6923,33472.0,1178.5,18214.0,2.0,0.2279,0.5551,0.5634,0.2368
19.0,34203.0,0.6923,32811.0,990.0,22300.0,2.0,0.1097,0.3248,0.6695,0.2555
19.0,39446.0,0.7076,39875.0,974.0,24730.0,2.0,0.0307,0.6835,0.6863,0.462
27.0,54975.0,0.8313,46764.0,1210.0,39376.0,2.0,0.0023,0.2532,0.2535,0.6473
23.0,45992.0,0.554,47863.0,1178.5,32685.0,2.0,0.4303,0.4674,0.5092,0.457
21.0,34951.0,0.408,40894.0,1178.5,21696.0,2.0,0.0717,0.4188,0.6265,0.1974
19.0,18167.0,0.581,35905.0,997.0,3483.0,2.0,0.2364,0.3824,0.4495,0.2292
21.0,20838.0,0.6526,42057.0,1020.0,5751.0,2.0,0.2385,0.4339,0.4647,0.434
26.0,51713.0,0.768,48369.0,1315.0,38860.0,2.0,0.0092,0.203,0.2107,0.7396
21.0,33421.0,0.6471,38708.0,1178.5,22924.0,2.0,0.0349,0.3181,0.3715,0.3739
33.0,75594.0,0.9521,79774.0,1493.0,57948.0,2.0,0.0182,0.1878,0.1899,0.8999
18.0,20211.0,0.6731,34932.0,871.0,5832.0,2.0,0.0769,0.728,0.7371,0.4555
32.0,29148.0,0.9786,102952.0,1480.0,11764.0,2.0,0.0228,0.1332,0.1404,0.926
21.0,19915.0,0.5973,44106.0,1075.0,4980.0,2.0,0.2032,0.3867,0.4727,0.3621
24.0,28118.0,0.8015,51479.0,1144.0,8974.0,2.0,0.0115,0.1627,0.1656,0.6237
21.0,22652.0,0.7197,47989.0,1057.0,6485.0,2.0,0.1082,0.3709,0.3897,0.5274
23.0,27149.0,0.7826,43132.0,1127.0,8478.0,2.0,0.1489,0.5141,0.5246,0.549
31.0,27821.0,0.943,64451.0,1335.0,11180.0,2.0,0.0214,0.1847,0.1856,0.8811
20.0,14627.0,0.5417,36047.0,952.0,3475.0,2.0,0.1774,0.4534,0.5522,0.2267
19.0,40129.0,0.6982,46555.0,983.0,14406.0,2.0,0.1813,0.3974,0.4035,0.3125
30.0,55068.0,0.855,51412.0,1288.0,39708.0,2.0,0.2491,0.3313,0.3484,0.7351
23.0,48890.0,0.7981,48874.0,1090.0,29468.0,2.0,0.1088,0.433,0.433,0.5898
27.0,57647.0,0.7624,49724.0,1207.0,43990.0,2.0,0.0512,0.3714,0.3838,0.571
23.0,42631.0,0.6789,46371.0,1108.0,29190.0,2.0,0.2016,0.4215,0.4361,0.4835
21.0,33819.0,0.7175,38613.0,1059.0,22810.0,2.0,0.1336,0.3985,0.4488,0.3186
20.0,18420.0,0.3556,43132.0,1010.0,11080.0,2.0,0.4299,0.4312,0.4831,0.6703
22.0,33983.0,0.5964,32723.0,1114.0,22350.0,2.0,0.0582,0.2265,0.5019,0.4638
21.0,35484.0,0.6904,44294.0,1077.0,24440.0,2.0,0.0299,0.1121,0.3484,0.4633
20.0,20694.0,0.5906,46399.0,1027.0,6007.0,2.0,0.1405,0.5179,0.5387,0.4031
24.0,39010.0,0.6306,41497.0,1178.5,27650.0,2.0,0.2374,0.4273,0.5174,0.4563
21.0,23870.0,0.7331,47293.0,1026.0,5941.0,2.0,0.1298,0.4388,0.489,0.4324
19.0,21526.0,0.6777,45671.0,1020.0,7838.0,2.0,0.2226,0.3945,0.4144,0.4246
24.0,22185.0,0.7883,56214.0,1113.0,12186.0,2.0,0.1462,0.2535,0.2587,0.6233
25.0,49353.0,0.5885,57268.0,1173.0,31940.0,2.0,0.1702,0.2127,0.3173,0.4499
19.0,15528.0,0.6885,49529.0,1033.0,7584.0,2.0,0.3979,0.3088,0.3504,0.3271
21.0,25426.0,0.7222,29937.0,950.0,9770.0,2.0,0.2472,0.573,0.573,0.4688
24.0,22108.0,0.7378,49750.0,1129.0,8396.0,2.0,0.0914,0.2482,0.311,0.611
26.0,47926.0,0.7577,46983.0,1175.0,34630.0,2.0,0.0143,0.2413,0.2413,0.5992
23.0,46897.0,0.7216,49145.0,1139.0,36298.0,2.0,0.2268,0.2691,0.3093,0.5817
23.0,12807.0,0.6792,56911.0,1107.0,4536.0,2.0,0.4321,0.2623,0.2669,0.5382
22.0,38012.0,0.7271,55621.0,1087.0,27420.0,2.0,0.1291,0.4409,0.445,0.5975
20.0,35726.0,0.375,40280.0,1178.5,26055.0,2.0,0.0894,0.5604,0.5979,0.3571
27.0,50881.0,0.8258,61256.0,1208.0,37800.0,2.0,0.0222,0.3011,0.3019,0.761
34.0,84126.0,0.9898,93923.0,1532.0,64260.0,2.0,0.0058,0.1294,0.1307,0.9558
20.0,25334.0,0.7147,43619.0,1000.0,13101.0,2.0,0.115,0.3109,0.4649,0.5464
26.0,51455.0,0.8038,58768.0,1107.0,40232.0,2.0,0.0961,0.3642,0.3805,0.6352
20.0,38968.0,0.5678,48789.0,1178.5,28380.0,2.0,0.0672,0.4601,0.4679,0.5359
19.0,20901.0,0.5585,52957.0,945.0,10468.0,2.0,0.4588,0.5312,0.5353,0.2066
18.0,43239.0,0.7621,43229.0,1003.0,30548.0,2.0,0.1034,0.3831,0.4069,0.575
27.0,24375.0,0.7832,66641.0,1232.0,14046.0,2.0,0.0909,0.4956,0.5017,0.6162
24.0,46422.0,0.674,56092.0,1178.5,34290.0,2.0,0.1309,0.4297,0.4321,0.5344
32.0,31636.0,0.9332,76079.0,1440.0,15714.0,2.0,0.0134,0.2486,0.2551,0.8469
