SAT_AVG,UG25ABV,PCTPELL,PCTPELL_DCS,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,RET_FT4,MD_EARN_WNE_INC1_P10,MD_EARN_WNE_INC3_P10,C150_4
1050.0,0.1912,0.4403,0.4408,34050.0,34050.0,43022.0,0.6812,53677.0,56894.0,0.5575
1021.0,0.3203,0.5435,0.5497,32700.0,32700.0,43905.0,0.6703,40486.0,51053.0,0.519
1259.0,0.0086,0.2685,0.2738,49930.0,49930.0,63986.0,0.8347,56140.0,61110.0,0.7488
1230.0,0.0012,0.2381,0.2381,47475.0,47475.0,60150.0,0.8804,59806.0,75833.0,0.7535
1115.0,0.3141,0.4442,0.4607,38644.0,38644.0,51406.0,0.7585,43919.0,56046.0,0.5792
1117.0,0.0079,0.2248,0.2306,19800.0,19800.0,34302.0,0.7375,51492.0,57053.0,0.7143
1055.0,0.0363,0.3863,0.3863,38060.0,38060.0,51322.0,0.6667,53090.0,56513.0,0.5759
1253.0,0.0086,0.2831,0.2842,49158.0,49158.0,62571.0,0.7951,47245.0,53984.0,0.6341
1182.0,0.0111,0.1824,0.1984,34600.0,34600.0,49104.0,0.8042,46138.0,57600.0,0.6701
1304.0,0.0407,0.1923,0.1953,47912.0,47912.0,60642.0,0.8287,62312.0,76611.0,0.764
1090.0,0.0881,0.3834,0.3895,19800.0,19800.0,30059.0,0.7021,36460.0,52914.0,0.8154
1090.0,0.0547,0.3724,0.4831,18740.0,18740.0,29489.0,0.88,46692.0,47221.0,0.5484
1480.0,0.0017,0.1739,0.1774,61480.0,61480.0,75698.0,0.9321,60908.0,64420.0,0.8838
1197.0,0.0399,0.1915,0.1935,10133.0,26617.0,21932.0,0.857,58795.0,67621.0,0.7445
1003.0,0.0907,0.5026,0.5341,34700.0,34700.0,46894.0,0.5447,42271.0,58793.0,0.297
1222.0,0.0583,0.1868,0.1904,10353.0,32316.0,26358.0,0.8864,55748.0,70872.0,0.7369
1241.0,0.004,0.176,0.1773,48160.0,48160.0,61175.0,0.8115,49580.0,62852.0,0.7423
1121.0,0.0729,0.2601,0.265,9411.0,20565.0,20969.0,0.8257,52950.0,56719.0,0.6384
1153.0,0.0835,0.2657,0.2667,34570.0,34570.0,48547.0,0.7907,51584.0,64498.0,0.6402
1410.0,0.1024,0.3575,0.3575,45108.0,45108.0,57690.0,0.7832,59287.0,60188.0,0.6667
1065.0,0.6462,0.3438,0.3718,33639.0,33639.0,48044.0,0.5682,44944.0,65763.0,0.4206
1113.0,0.0079,0.2289,0.2306,49190.0,49190.0,59828.0,0.7046,50651.0,59645.0,0.6719
971.0,0.1871,0.4663,0.4806,27800.0,27800.0,39936.0,0.6238,40488.0,58111.0,0.2987
1050.0,0.1632,0.226,0.2894,32320.0,32320.0,47258.0,0.7972,55954.0,70343.0,0.479
1220.0,0.0195,0.1585,0.1683,33720.0,33720.0,51009.0,0.7678,53294.0,52300.0,0.6764
1010.0,0.0231,0.4437,0.4732,31305.0,31305.0,50636.0,0.4727,48092.0,49797.0,0.2947
1082.0,0.0351,0.3306,0.3306,32090.0,32090.0,46600.0,0.75,42842.0,56559.0,0.5248
1112.0,0.1602,0.3555,0.4308,31812.0,31812.0,43844.0,0.6192,42772.0,58157.0,0.454
1192.0,0.0796,0.1944,0.2021,11167.0,28035.0,24888.0,0.8469,57567.0,65256.0,0.6728
1090.0,0.1299,0.3842,0.3953,17914.0,17914.0,32545.0,0.5714,48125.0,51225.0,0.5333
1048.0,0.2092,0.3126,0.3631,34832.0,34832.0,51534.0,0.6316,53046.0,69327.0,0.419
993.0,0.0788,0.3931,0.3931,33380.0,33380.0,50165.0,0.5681,46525.0,66397.0,0.2849
1090.0,0.1033,0.2954,0.3138,7970.0,19654.0,19841.0,0.7491,44319.0,56699.0,0.5553
1026.0,0.4613,0.3823,0.3886,36650.0,36650.0,51374.0,0.4901,52465.0,55958.0,0.3846
1076.0,0.1224,0.3557,0.4073,30000.0,30000.0,42886.0,0.5922,43661.0,53377.0,0.3672
1118.0,0.2262,0.3007,0.3476,8866.0,18226.0,20964.0,0.6602,47493.0,54258.0,0.5159
980.0,0.0212,0.571,0.5983,14250.0,14250.0,27810.0,0.5468,38502.0,45013.0,0.4048
1191.0,0.0631,0.2376,0.2431,46030.0,46030.0,58078.0,0.8105,63066.0,64668.0,0.5972
1366.0,0.0008,0.2167,0.2175,48070.0,48070.0,60700.0,0.8886,55707.0,73526.0,0.8675
1049.0,0.3578,0.4885,0.5488,9875.0,9875.0,24278.0,0.7012,39961.0,48629.0,0.4425
1051.0,1.0,0.3815,0.4054,9844.0,20222.0,21228.0,0.7698,40640.0,54004.0,0.4924
1053.0,0.0752,0.4476,0.4618,31300.0,31300.0,41058.0,0.5707,43197.0,56461.0,0.4845
1189.0,0.0658,0.2118,0.2172,12859.0,32276.0,30635.0,0.8454,53037.0,64887.0,0.6877
959.0,0.0415,0.4,0.469,23700.0,23700.0,37121.0,0.462,38160.0,49207.0,0.3072
1153.0,0.1444,0.2914,0.3298,12520.0,28866.0,29595.0,0.7827,49052.0,58573.0,0.6216
1113.0,0.2718,0.4869,0.4923,25050.0,25050.0,40723.0,0.7354,38238.0,58944.0,0.4341
1109.0,0.0959,0.3149,0.3534,9432.0,18888.0,21641.0,0.7744,40053.0,52623.0,0.5846
1123.0,0.1763,0.2609,0.3146,10592.0,20848.0,18899.0,0.7747,45945.0,54238.0,0.5005
1013.0,0.2641,0.3843,0.4305,27300.0,27300.0,42917.0,0.7087,42741.0,62212.0,0.4467
1250.0,0.0041,0.2588,0.2588,43670.0,43670.0,57015.0,0.7825,44956.0,61827.0,0.6901
980.0,0.1407,0.4987,0.4987,30946.0,30946.0,41450.0,0.5926,39183.0,48715.0,0.3308
