INSTNM,CITY,STABBR,ZIP,ADM_RATE_ALL,ADMCON7,SAT_AVG,ACTCM25,ACTCM75,OPENADMP,PCTFLOAN_DCS,PCTPELL_DCS,FTFTPCTFLOAN,UGDS,UGDS_MEN,UGDS_WOMEN,UG25ABV,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,FIRSTGEN_DEBT_MDN,NOTFIRSTGEN_DEBT_MDN,PAR_ED_PCT_1STGEN,FAMINC,MD_FAMINC,PCT_BORN_US,UNEMP_RATE,COSTT4_A,COSTT4_P
South Texas College of Law Houston,Houston,TX,77002-7006,,,,,,,,,,,,,,,,,,,,,,,PS,PS,,,,PS,PS,,
South Texas Vocational Technical Institute-Weslaco,Weslaco,TX,78599,,,,,,1.0,0.7979,0.8533,0.7867,409.0,0.445,0.555,0.3072,0.0465,0.0073,0.934,0.0,0.0,0.0024,0.0098,0.0,0.0,10694,9683,0.6805555556,17593.544739,13864,71.9300003051757,7.13999986648559,,24470.0
Miller-Motte College-STVT-McAllen,McAllen,TX,78503,,,,,,1.0,0.691,0.7346,0.5873,482.0,0.4025,0.5975,0.3288,0.1826,0.0104,0.8029,0.0,0.0,0.0,0.0041,0.0,0.0,10587,12139,0.5862318841,22994.267789,16310,93.2399978637695,3.27999997138977,,21936.0
Southern Methodist University,Dallas,TX,75275-0221,0.5225386996904,5.0,1444.0,31.0,34.0,2.0,0.2177,0.116,0.2443,7044.0,0.4935,0.5065,0.0195,0.6062,0.0495,0.1454,0.0832,0.0028,0.0009,0.0464,0.0415,0.0241,17750,14000,0.1568247822,107171.99546,67697,85.3199996948242,2.81999993324279,79885.0,
Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,78221-0138,,,,,,1.0,0.5672,0.7537,0.5672,18.0,0.2222,0.7778,0.3684,0.0556,0.0556,0.8889,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,0.7142857143,13760.26455,12440,86.3399963378906,4.59000015258789,,26887.0
Southwest Texas Junior College,Uvalde,TX,78801-6297,,,,,,1.0,0.062,0.7063,0.056,3099.0,0.3766,0.6234,0.1268,0.0652,0.0048,0.9132,0.0052,0.0068,0.0,0.0,0.0,0.0048,5980,5500,0.5658093797,24457.003534,19535,75.5699996948242,6.69999980926513,13163.0,
Southwestern Assemblies of God University,Waxahachie,TX,75165,0.85645933014354,1.0,1015.0,17.0,22.0,2.0,0.6664,0.5466,0.6548,1435.0,0.4969,0.5031,0.2008,0.5066,0.1408,0.2523,0.0118,0.0286,0.0028,0.0453,0.0098,0.0021,14963,14000,0.3815028902,48154.217391,35444,91.3000030517578,3.51999998092651,31917.0,
Southwestern University,Georgetown,TX,78626,0.44790354507827,5.0,1262.0,24.0,30.0,2.0,0.4673,0.2473,0.5183,1480.0,0.4628,0.5372,0.0266,0.5601,0.0554,0.2682,0.0405,0.0027,0.0007,0.0493,0.0169,0.0061,19750,19500,0.2033542977,98483.840637,74646,88.5599975585937,2.91000008583068,61668.0,
Stephen F Austin State University,Nacogdoches,TX,75961,0.8951126307321,1.0,1067.0,18.0,24.0,2.0,0.483,0.4144,0.4673,8961.0,0.366,0.634,0.1151,0.5817,0.1241,0.213,0.0119,0.0054,0.0004,0.0433,0.0067,0.0134,17979,17495,0.353515625,62127.701147,44426.5,90.2799987792968,3.59999990463256,24402.0,
Texas State University,San Marcos,TX,78666,0.87702366127023,5.0,1090.0,19.0,26.0,2.0,0.4529,0.363,0.4848,33834.0,0.4015,0.5985,0.1179,0.4016,0.0934,0.4205,0.0257,0.0022,0.0009,0.0362,0.0054,0.0141,15000,14524,0.3582704187,61131.097512,42889,88.4100036621093,3.25999999046325,25797.0,
Southwestern Adventist University,Keene,TX,76059,0.53616133518776,5.0,1020.0,17.0,24.0,2.0,0.6372,0.5123,0.5769,659.0,0.4112,0.5888,0.1516,0.1927,0.1093,0.4082,0.0516,0.0046,0.003,0.0486,0.0501,0.132,22297,18125,0.3415977961,50691.139303,36174.5,86.4300003051757,3.88000011444091,34060.0,
Southwestern Christian College,Terrell,TX,75160-4812,,,,,,1.0,0.0,0.883,0.0,84.0,0.6071,0.3929,0.0761,0.0119,0.9524,0.0357,0.0,0.0,0.0,0.0,0.0,0.0,PS,PS,0.389380531,28003.932331,20000,88.3899993896484,4.38000011444091,16554.0,
Sul Ross State University,Alpine,TX,79832,0.97071129707112,5.0,972.0,16.0,21.0,2.0,0.4111,0.5552,0.4974,1495.0,0.4214,0.5786,0.2966,0.1967,0.0669,0.703,0.0033,0.0054,0.0013,0.0147,0.0007,0.008,11000,11250,0.4626998224,38706.422088,26794.5,80.2399978637695,5.48000001907348,22434.0,
Tarleton State University,Stephenville,TX,76401-0000,0.87059433310297,5.0,1061.0,18.0,24.0,2.0,0.4783,0.381,0.4958,11880.0,0.3678,0.6322,0.1976,0.6342,0.0647,0.2308,0.0098,0.0057,0.0007,0.0362,0.0066,0.0112,14054,13000,0.4210031937,55840.485472,40809,91.6999969482422,3.53999996185302,22286.0,
Tarrant County College District,Fort Worth,TX,76102,,,,,,1.0,0.1416,0.3039,0.0776,38915.0,0.4168,0.5832,0.2812,0.2822,0.1634,0.3664,0.065,0.003,0.0016,0.0389,0.0145,0.065,5508,5500,0.4920603414,27573.16516,21937,87.3399963378906,3.22000002861023,11554.0,
